property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,bestech park view city,sector 48,1.78,1776.0,10023.0,Super Built up area 1776(165 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,2,5.0,,Relatively New,1776.0,,1300.0,1,0,0,1,0,2,53,592.0
house,independent,sector 41,1.65,1200.0,13750.0,Built Up area: 1200 (111.48 sq.m.),1,1,,1.0,not available,Undefined,,1200.0,,0,0,0,0,0,2,0,1200.0
flat,bptp park generations,sector 37d,1.5,1520.0,9868.0,Super Built up area 1520(141.21 sq.m.),3,2,3+,17.0,North-East,Relatively New,1520.0,,,0,0,0,0,0,2,42,506.6666666666667
flat,hcbs sports ville,sohna road,0.28,743.0,3769.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2,2,1,11.0,East,Relatively New,,743.0,643.0,0,0,0,0,0,2,38,371.5
flat,pioneer araya,sector 62,9.95,4739.0,20996.0,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12.0,South-East,Relatively New,4739.0,,3219.0,0,1,0,1,0,1,138,1184.75
house,vipul tatvam villa,sector 48,6.4,2592.0,24691.0,Plot area 288(240.8 sq.m.)Built Up area: 240 sq.yards (200.67 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),3,4,3,2.0,North,Relatively New,,240.0,200.0,1,1,1,0,0,1,148,864.0
flat,la vida by tata housing,sector 113,1.32,1276.0,10345.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1199 sq.ft. (111.39 sq.m.)Carpet area: 1099 sq.ft. (102.1 sq.m.),2,2,2,3.0,North-East,Relatively New,1276.0,1199.0,1099.0,0,0,0,0,0,2,49,638.0
flat,dlf regal gardens,sector 90,1.65,2215.0,7449.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4,4,3+,8.0,East,Relatively New,2215.0,1900.0,1700.0,0,0,0,0,1,2,79,553.75
house,independent,sector 2,0.4,525.0,7619.0,Carpet area: 525 (48.77 sq.m.),2,2,1,1.0,not available,Relatively New,,,525.0,0,0,0,0,0,2,0,262.5
house,independent,sector 105,1.3,1125.0,11556.0,Built Up area: 1125 (104.52 sq.m.),3,3,1,1.0,East,Undefined,,1125.0,,0,0,0,0,0,2,0,375.0
flat,vatika india next,sector 82,0.8,1245.0,6426.0,Carpet area: 1245 (115.66 sq.m.),2,2,3,9.0,,Undefined,,,1245.0,0,0,0,0,0,2,0,622.5
flat,ireo skyon,sector 60,3.75,2800.0,13393.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4,4,3,12.0,North,Relatively New,2800.0,2650.0,2350.0,0,1,0,0,0,1,49,700.0
flat,vatika gurgaon,sector 83,0.87,1245.0,6988.0,Super Built up area 1245(115.66 sq.m.),2,2,2,3.0,East,Moderately Old,1245.0,,,0,0,0,0,0,2,35,622.5
flat,dlf new town heights,sector 86,1.28,1560.0,8205.0,Super Built up area 1930(179.3 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,4,3+,12.0,West,Moderately Old,1930.0,,1560.0,0,1,0,1,0,2,96,520.0
flat,ashiana apartment,sector 23,0.16,780.0,2051.0,Super Built up area 780(72.46 sq.m.),2,2,2,1.0,,Moderately Old,780.0,,,0,0,0,0,0,2,0,390.0
flat,satya element one,sector 49,0.94,671.0,14009.0,Carpet area: 671 (62.34 sq.m.),1,2,2,2.0,East,Undefined,,,671.0,0,0,0,0,0,2,0,671.0
flat,dlf the skycourt,sector 86,1.55,1930.0,8031.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,1,12.0,North-East,Relatively New,1930.0,1900.0,1350.0,0,0,0,1,0,1,153,643.3333333333334
flat,global hill view,sector 11,0.36,699.0,5150.0,Built Up area: 699 (64.94 sq.m.),2,2,0,15.0,,Undefined,,699.0,,0,0,0,0,0,2,0,349.5
flat,shree vardhman flora,sector 90,0.96,1875.0,5120.0,Super Built up area 1875(174.19 sq.m.),3,4,3,3.0,North,New Property,1875.0,,,0,1,0,0,0,2,106,625.0
flat,bhawna cghs,sector 43,3.25,3200.0,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,12.0,,Moderately Old,3200.0,,3000.0,0,0,0,1,0,1,119,800.0
flat,godrej aria,sector 79,1.95,2289.0,8519.0,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3,4,3+,10.0,,New Property,2289.0,,1121.0,0,1,0,0,0,2,32,763.0
house,independent,sector 12,2.9,2700.0,10741.0,Plot area 2700(250.84 sq.m.),7,7,3,2.0,South-West,Old Property,,2700.0,,0,0,0,0,0,2,7,385.7142857142857
flat,greenopolis,sector 89,0.9,1915.0,4700.0,Built Up area: 1910 (177.44 sq.m.),3,3,0,14.0,,Under Construction,,1910.0,,0,0,0,0,0,2,67,638.3333333333334
flat,ambience creacions,sector 22,6.16,3000.0,20533.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,,,3000.0,0,1,0,1,0,1,49,750.0
house,independent,sector 4,5.0,4950.0,10101.0,Plot area 550(459.87 sq.m.),3,3,2,1.0,North-East,Old Property,,4950.0,,0,0,0,0,0,2,22,1650.0
flat,dlf the ultima,sector 81,2.25,2132.0,10553.0,Super Built up area 2132(198.07 sq.m.),3,3,3+,15.0,North-East,Relatively New,2132.0,,,0,1,0,0,0,0,165,710.6666666666666
house,independent,sector 4,1.1,990.0,11111.0,Built Up area: 990 (91.97 sq.m.),3,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,2,0,330.0
flat,pyramid urban homes 2,sector 86,0.5,601.0,8319.0,Carpet area: 601 (55.83 sq.m.),2,2,1,2.0,East,Relatively New,,,601.0,0,0,0,0,0,2,35,300.5
house,signature global city 92,sector 92,0.75,959.0,7821.0,Built Up area: 959 (89.09 sq.m.),2,2,3,1.0,not available,Undefined,,959.0,,0,0,0,0,0,2,46,479.5
flat,corona optus,sector 37c,1.26,1738.0,7250.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),3,3,3,4.0,North-East,New Property,1735.0,1400.0,965.0,0,0,0,0,0,2,28,579.3333333333334
flat,tulip violet,sector 69,1.43,1609.0,8888.0,Super Built up area 1608(149.39 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),3,3,2,1.0,South-West,Relatively New,1608.0,,1039.0,0,0,0,1,0,2,86,536.3333333333334
flat,orchid island,sector 51,0.71,900.0,7889.0,Carpet area: 906 (84.17 sq.m.),2,2,1,4.0,,Relatively New,,,906.0,0,0,0,0,0,2,23,450.0
flat,sare green parc 2,sector 92,0.75,1581.0,4744.0,Super Built up area 1454(135.08 sq.m.)Built Up area: 1415 sq.ft. (131.46 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,2.0,East,Relatively New,1454.0,1415.0,1350.0,0,0,0,0,1,1,49,527.0
flat,dlf the skycourt,sector 86,1.6,1929.0,8294.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1548 sq.ft. (143.81 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,9.0,North-East,Relatively New,1929.0,1548.0,1300.0,0,0,0,0,1,1,167,643.0
flat,rof ananda,sector 95,0.37,644.0,5745.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6.0,South-East,Relatively New,,,644.111776,0,0,0,1,0,1,72,214.66666666666666
flat,ramshanti cooperative society,sector 52,1.76,2430.0,7243.0,Super Built up area 2430(225.75 sq.m.),4,4,3+,12.0,,New Property,2430.0,,,0,0,0,0,0,2,0,607.5
flat,godrej nature plus,sector 33,1.7,1350.0,12593.0,Carpet area: 1350 (125.42 sq.m.),3,3,3+,6.0,,New Property,,,1350.0,0,1,0,0,0,2,38,450.0
flat,chintels paradiso,sector 109,1.8,2030.0,8867.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0.0,East,Moderately Old,2030.0,,1785.0,0,1,0,0,0,2,83,676.6666666666666
flat,shree vardhman victoria,sector 70,1.64,1956.0,8384.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,3.0,North,Relatively New,1950.0,,1161.0,0,1,0,0,0,2,51,652.0
flat,shree vardhman flora,sector 90,0.65,1350.0,4815.0,Super Built up area 1350(125.42 sq.m.),2,2,3,6.0,East,Relatively New,1350.0,,,1,0,0,0,0,2,165,675.0
flat,m3m skywalk,sector 74,2.45,2018.0,12141.0,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),3,3,3+,25.0,South-West,Relatively New,2018.0,1800.0,1614.0,1,0,0,0,0,2,137,672.6666666666666
flat,vatika gurgaon,sector 83,0.85,950.0,8947.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,18.0,West,Moderately Old,1245.0,1100.0,950.0,0,0,0,1,0,1,119,475.0
flat,paras dews,sector 106,0.95,1385.0,6859.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,North,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,2,49,692.5
flat,valley view estate,gwal pahari,1.5,1812.0,8278.0,Carpet area: 1812 (168.34 sq.m.),4,4,3+,9.0,North,Old Property,,,1812.0,1,1,0,0,1,2,135,453.0
flat,bestech park view sanskruti,sector 92,1.6,2120.0,7547.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10.0,East,Relatively New,2120.0,,1450.0,0,1,0,0,0,1,60,706.6666666666666
flat,kendriya vihar,sector 56,0.58,605.0,9587.0,Carpet area: 605 (56.21 sq.m.),1,1,1,1.0,,Old Property,,,605.0,0,0,0,0,0,2,77,605.0
flat,tulip violet,sector 69,1.29,1568.0,8227.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,North-East,Relatively New,1568.0,,,0,0,0,1,0,1,86,522.6666666666666
