property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,smart world gems,sector 89,0.95,1105.0,8600.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,New Property,,,1103.0,1,1,0,0,0,2,38
flat,paras dews,sector 106,2.1,2355.0,8917.0,Super Built up area 2355(218.79 sq.m.),4,6,3+,6.0,South-East,Relatively New,2355.0,,,0,1,0,0,1,2,60
house,uppal southend,sector 49,6.75,2088.0,32328.0,Built Up area: 232 (193.98 sq.m.),4,4,3,3.0,West,Relatively New,,232.0,,0,1,0,0,0,1,26
flat,sare crescent parc royal greens phase 1,sector 92,0.79,1298.0,6086.0,Super Built up area 1298(120.59 sq.m.),3,2,2,15.0,,New Property,1298.0,,,0,0,0,0,0,2,25
flat,adarsh nagar,sector 12,0.65,1050.0,6190.0,Carpet area: 1050 (97.55 sq.m.),3,3,1,1.0,North-West,New Property,,,1050.0,0,0,0,0,0,1,42
flat,spaze privvy the address,sector 93,1.45,1805.0,8033.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,2,12.0,North-East,Relatively New,1805.0,1350.0,1100.0,0,0,0,0,0,1,96
flat,godrej oasis,sector 88a,1.19,1171.0,10162.0,Super Built up area 1628(151.25 sq.m.)Carpet area: 1171 sq.ft. (108.79 sq.m.),2,2,3,15.0,South-East,Relatively New,1628.0,,1171.0,1,0,0,1,0,1,174
flat,dlf new town heights,sector 90,1.99,2727.0,7297.0,Carpet area: 2727 (253.35 sq.m.),4,4,3+,9.0,East,Relatively New,,,2727.0,0,1,0,1,0,1,102
house,nul,sector 28,12.5,2430.0,51440.0,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively New,,2430.0,,1,1,0,1,1,0,137
flat,signature global city 81,sector 81,0.89,1075.0,8279.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,3.0,North,Undefined,,,1075.0,0,0,0,0,1,2,20
house,independent,sector 12,1.5,1350.0,11111.0,Plot area 150(125.42 sq.m.),5,5,2,3.0,not available,Old Property,,1350.0,,0,0,0,0,0,2,16
flat,ss the leaf,sector 85,1.18,1169.0,10094.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1420 sq.ft. (131.92 sq.m.)Carpet area: 1169 sq.ft. (108.6 sq.m.),2,3,3,12.0,North,Relatively New,1671.0,1420.0,1169.0,0,0,0,1,0,1,150
house,independent,sector 4,1.9,2250.0,8444.0,Plot area 250(209.03 sq.m.)Carpet area: 190 sq.yards (158.86 sq.m.),4,3,2,2.0,North-East,Moderately Old,,,190.0,0,0,1,1,0,1,46
flat,orris aster court,sector 85,0.93,1640.0,5671.0,Built Up area: 1587 (147.44 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,8.0,,Relatively New,,1587.0,1250.0,0,0,0,0,0,2,0
flat,dlf the crest,sector 54,11.0,3123.0,35222.0,Super Built up area 3123(290.14 sq.m.),4,6,3,7.0,,Relatively New,3123.0,,,0,1,0,0,0,0,125
flat,elan mercado,sector 80,0.85,685.0,12408.0,Carpet area: 685 (63.64 sq.m.),1,1,1,15.0,,Relatively New,,,685.0,0,0,0,0,0,2,60
flat,paras dews,sector 106,1.4,1403.0,9978.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,10.0,North-West,Relatively New,2355.0,1535.0,1403.0,0,1,0,0,0,2,174
flat,experion the heartsong,sector 108,1.55,2003.0,7738.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,7.0,North-East,Relatively New,2003.0,1750.0,1550.0,0,1,0,1,0,1,174
house,vipul tatvam villa,sector 48,5.5,2592.0,21219.0,Plot area 288(240.8 sq.m.),3,6,2,2.0,North,Moderately Old,,2592.0,,0,1,0,0,1,1,106
flat,m3m merlin,sector 67,2.78,2047.0,13580.0,Super Built up area 2047(190.17 sq.m.),3,3,3+,4.0,South-West,Relatively New,2047.0,,,0,0,0,1,0,1,157
house,independent,sector 6,1.25,1080.0,11574.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,5,1,2.0,South,New Property,,120.0,,0,0,0,1,0,2,0
house,housing board colony,sector 28,2.1,900.0,23333.0,Plot area 100(83.61 sq.m.),8,8,3+,4.0,South-East,Moderately Old,,900.0,,0,0,0,0,1,1,38
flat,godrej summit,sector 104,0.85,1233.0,6896.0,Carpet area: 1450 (134.71 sq.m.),2,2,3,12.0,,Relatively New,,,1450.0,1,0,0,0,1,2,61
flat,vatika the seven lamps,sector 82,1.0,1688.0,5923.0,Super Built up area 1435(133.32 sq.m.),2,2,2,11.0,South,Relatively New,1435.0,,,1,0,0,0,0,1,90
flat,dlf new town heights,sector 90,1.25,1447.0,8638.0,Carpet area: 1447 (134.43 sq.m.),3,4,3+,0.0,North-West,Old Property,,,1447.0,0,1,0,0,0,0,31
flat,sare homes,sector 92,0.8,1523.0,5252.0,Carpet area: 1523 (141.49 sq.m.),3,3,3,7.0,North-West,Relatively New,,,1523.0,1,0,0,0,0,1,80
flat,bestech park view grand spa,sector 81,4.5,4200.0,10714.0,Super Built up area 4200(390.19 sq.m.),4,6,3+,17.0,,Relatively New,4200.0,,,0,1,0,0,0,1,44
flat,signature global orchard avenue,sector 93,0.4,730.0,5479.0,Built Up area: 730 (67.82 sq.m.),2,2,0,0.0,,Undefined,,730.0,,0,0,0,0,0,2,0
house,independent,sector 23,2.9,2500.0,11600.0,Plot area 2500(232.26 sq.m.),4,4,3,2.0,not available,Relatively New,,2500.0,,0,1,0,0,0,1,43
flat,tarc maceo,sector 91,1.8,2320.0,7758.0,Carpet area: 2320 (215.54 sq.m.),3,3,3+,0.0,North,Relatively New,,,2320.0,0,0,0,1,0,0,45
flat,sobha city,sector 108,3.35,2525.0,13266.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,,New Property,2072.9,,,0,0,0,0,0,2,102
flat,dlf regal gardens,sector 90,1.21,1747.0,6926.0,Super Built up area 1747(162.3 sq.m.),3,3,3+,29.0,West,Relatively New,1747.0,,,0,0,0,0,1,2,95
house,vipul world,sector 48,3.35,6000.0,5583.0,Built Up area: 6000 (557.42 sq.m.),6,5,3+,3.0,South,Undefined,,6000.0,,0,0,0,0,0,2,53
flat,ireo the grand arch,sector 58,2.2,1632.0,13480.0,Super Built up area 1632(151.62 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1232 sq.ft. (114.46 sq.m.),2,2,1,5.0,North-East,Relatively New,1632.0,1432.0,1232.0,1,0,0,0,0,1,94
flat,pgr shree kripaluji apartment,sector 52,1.4,2300.0,6086.0,Carpet area: 2300 (213.68 sq.m.),3,3,3+,8.0,North-East,Relatively New,,,2300.0,0,0,0,0,0,1,80
flat,m3m skywalk,sector 74,1.54,1400.0,11000.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3+,22.0,South,Relatively New,1400.0,1200.0,1100.0,0,0,0,0,1,2,137
flat,smart world one,dwarka expressway,1.65,2781.0,5933.0,Carpet area: 2785 (258.73 sq.m.),3,4,3,6.0,,Under Construction,,,2785.0,0,0,0,0,0,2,0
flat,g l s arawali homes,sohna road,0.26,576.0,4513.0,Super Built up area 576(53.51 sq.m.),2,2,2,1.0,,Moderately Old,576.0,,,0,0,0,0,0,2,0
flat,ireo uptown,sector 66,1.85,1472.0,12567.0,Super Built up area 1472(136.75 sq.m.)Built Up area: 1470 sq.ft. (136.57 sq.m.)Carpet area: 1251 sq.ft. (116.22 sq.m.),2,3,3,16.0,South-East,Relatively New,1472.0,1470.0,1251.0,0,1,0,0,1,1,79
house,not applicable,sector 4,0.65,500.0,13000.0,Plot area 500(46.45 sq.m.),2,1,1,3.0,East,Moderately Old,,500.0,,0,0,0,0,0,2,7
flat,unitech vistas,sector 70,9.0,1565.0,57507.0,Built Up area: 1565 (145.39 sq.m.),3,3,0,7.0,,Undefined,,1565.0,,0,0,0,0,0,2,0
flat,greenopolis,sector 89,1.3,1910.0,6806.0,Carpet area: 1910 (177.44 sq.m.),3,3,3+,1.0,South-West,New Property,,,1910.0,0,1,0,0,0,2,35
house,luxury dlf city floors,sector 26,8.25,1800.0,45833.0,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,New Property,,1800.0,,0,1,0,0,0,1,105
flat,signature global park,sohna road,0.67,1210.0,5537.0,Super Built up area 1210(112.41 sq.m.),2,2,3,4.0,North-East,Relatively New,1210.0,,,0,0,0,1,0,2,127
flat,dlf regal gardens,sector 90,1.19,2162.0,5505.0,Super Built up area 1726(160.35 sq.m.),3,3,2,11.0,South-East,Relatively New,1726.0,,,0,0,0,0,1,2,88
flat,chintamani,sector 103,1.57,1845.0,8509.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,North-East,Undefined,,1845.0,1350.0,0,0,0,0,0,2,0
house,independent,sector 49,4.45,2880.0,15451.0,Plot area 320(267.56 sq.m.),6,6,3,3.0,North,Moderately Old,,2880.0,,1,1,1,1,0,0,152
house,independent,sector 56,12.39,2700.0,45889.0,Plot area 300(250.84 sq.m.),16,18,3+,4.0,North-East,New Property,,2700.0,,0,1,0,1,0,1,49
house,emaar mgf marbella,sector 66,9.0,4235.0,21251.0,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4,4,3+,,South-West,Relatively New,,5200.0,4235.0,0,1,1,1,0,1,114
flat,pareena coban residences,sector 99a,1.16,1997.0,5808.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1420 sq.ft. (131.92 sq.m.),3,3,3,3.0,North-East,Relatively New,1997.0,1790.0,1420.0,0,1,0,0,1,2,49
flat,signature global orchard avenue,sector 93,0.85,597.0,14237.0,Built Up area: 597 (55.46 sq.m.),2,2,0,10.0,,Undefined,,597.0,,0,0,0,0,0,2,0
flat,ild greens,sector 37c,1.0,2315.0,4320.0,Super Built up area 1875(174.19 sq.m.),3,3,3+,5.0,North,Under Construction,1875.0,,,0,0,0,0,0,2,51
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,915.0,11475.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0.0,,Undefined,,,915.0,0,0,0,0,0,2,49
flat,central park flower valley,sector 33,1.4,650.0,21538.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,Under Construction,650.0,,,0,0,0,0,0,2,54
house,rajendra park gurgaon,sector 105,0.37,360.0,10277.0,Plot area 360(33.45 sq.m.),4,3,2,3.0,East,Relatively New,,360.0,,0,0,0,0,0,2,0
flat,puri diplomatic greens,sector 111,3.45,2950.0,11694.0,Super Built up area 2950(274.06 sq.m.),4,5,3+,9.0,North-East,Relatively New,2950.0,,,0,1,0,0,0,2,68
house,independent,sector 43,2.5,963.0,25960.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,,963.0,,0,0,0,0,1,0,20
flat,godrej habitat,sector 3,1.25,1444.0,8656.0,Super Built up area 1444(134.15 sq.m.)Carpet area: 913 sq.ft. (84.82 sq.m.),2,2,3,14.0,,Undefined,1444.0,,913.0,0,0,0,0,0,2,36
flat,m3m woodshire,sector 107,1.4,2361.0,5929.0,Super Built up area 2361(219.34 sq.m.),3,4,0,1.0,East,New Property,2361.0,,,0,0,0,0,0,2,67
flat,experion heartsong,dwarka expressway,1.08,1756.0,6150.0,Built Up area: 1758 (163.32 sq.m.),3,3,0,,,Under Construction,,1758.0,,0,0,0,0,0,2,0
house,sai kripa floors 5,sector 11,0.9,800.0,11250.0,Plot area 800(74.32 sq.m.),5,5,3,3.0,not available,Relatively New,,800.0,,0,0,0,0,0,2,0
house,ansal sushant lok plots,sector 43,5.8,1935.0,29974.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,0,1,0,0,1,1,49
house,dlf city plot phase 3,sector 24,,,,Built Up area: 5000 (464.52 sq.m.),5,5,3+,4.0,North-East,Undefined,,5000.0,,0,0,0,0,0,2,0
flat,dlf new town heights,sector 86,1.25,1930.0,6476.0,Super Built up area 1930(179.3 sq.m.),3,4,3+,2.0,South-West,Relatively New,1930.0,,,0,1,0,1,0,2,65
flat,pareena coban residences,sector 99a,1.6,2000.0,8000.0,Super Built up area 2000(185.81 sq.m.),3,3,3,6.0,,Under Construction,2000.0,,,0,0,0,0,0,2,0
house,independent,sector 12,1.4,1609.0,8702.0,Plot area 166(138.8 sq.m.),2,2,1,2.0,North-East,Old Property,,166.0,,0,0,0,0,0,2,0
flat,dlf the ultima,sector 81,3.46,2872.0,12047.0,Super Built up area 2872(266.82 sq.m.),4,4,3+,10.0,East,New Property,2872.0,,,0,1,0,0,0,0,161
flat,ats triumph,sector 104,2.0,2290.0,8733.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,4.0,,Relatively New,2290.0,,,0,1,0,0,0,2,60
flat,signature global solera,sector 107,0.28,498.0,5623.0,Carpet area: 489 (45.43 sq.m.),2,2,2,14.0,North-West,Relatively New,,,489.0,0,0,0,0,0,2,38
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,915.0,10491.0,Super Built up area 915(85.01 sq.m.),2,2,2,10.0,East,Relatively New,915.0,,,0,0,0,0,0,2,132
flat,emaar palm heights,sector 77,2.1,2025.0,10370.0,Super Built up area 2025(188.13 sq.m.),3,3,3,17.0,,New Property,2025.0,,,1,1,0,0,0,2,8
house,ansal api esencia,sector 67,5.46,2259.0,24170.0,Plot area 251(209.87 sq.m.),4,5,3+,2.0,East,Relatively New,,2259.0,,1,0,1,1,0,1,103
flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,0.45,956.0,4705.0,Carpet area: 850 (78.97 sq.m.),2,2,1,0.0,East,Relatively New,,,850.0,0,0,0,0,0,2,46
flat,supertech araville,sector 79,1.35,1945.0,6940.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,4.0,,Relatively New,,,1945.0,0,0,0,0,0,2,0
flat,shree vardhman flora,sector 90,1.3,2475.0,5252.0,Super Built up area 2475(229.94 sq.m.)Carpet area: 1825 sq.ft. (169.55 sq.m.),4,5,2,9.0,North-East,Relatively New,2475.0,,1825.0,1,1,0,0,0,2,110
flat,ramprastha skyz,sector 37d,1.0,2023.0,4942.0,Super Built up area 2025(188.13 sq.m.),3,5,3,11.0,,Under Construction,2025.0,,,0,1,0,0,1,2,8
flat,ild grand,sector 37c,1.35,1890.0,7142.0,Built Up area: 1820 (169.08 sq.m.),3,3,0,1.0,,New Property,,1820.0,,0,0,0,0,0,2,60
flat,emaar gurgaon greens,sector 102,1.4,1650.0,8484.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,9.0,South-West,Relatively New,1650.0,,1200.0,0,1,0,0,0,2,49
flat,pareena laxmi apartments,sector 99a,0.3,553.0,5424.0,Super Built up area 553(51.38 sq.m.)Carpet area: 470 sq.ft. (43.66 sq.m.),2,1,2,5.0,North,New Property,553.0,,470.0,0,0,0,0,0,2,66
flat,ss the leaf,sector 85,1.65,2408.0,6852.0,Super Built up area 2408(223.71 sq.m.),3,4,3,9.0,,New Property,2408.0,,,0,0,0,1,0,2,21
flat,eldeco accolade,sohna road,0.73,1264.0,5775.0,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2,2,3,5.0,West,Relatively New,1264.0,,730.0,0,0,0,1,0,2,33
flat,smart world gems,sector 89,1.1,1103.0,9972.0,Built Up area: 1103 (102.47 sq.m.),3,1,0,0.0,,Undefined,,1103.0,,0,0,0,0,0,2,45
house,dlf city plots phase 2,sector 25,6.5,1800.0,36111.0,Plot area 200(167.23 sq.m.),5,5,3+,3.0,East,Old Property,,1800.0,,1,1,1,1,0,1,134
house,independent,sector 57,4.7,2160.0,21759.0,Plot area 240(200.67 sq.m.),3,3,2,2.0,North,Old Property,,2160.0,,0,1,0,0,1,2,43
flat,signature global grand iva,sector 103,0.23,352.0,6527.0,Carpet area: 360 (33.45 sq.m.),1,1,1,4.0,North-East,Relatively New,,,360.0,0,0,0,0,0,2,23
flat,malibu towne,sector 47,2.4,2400.0,10000.0,Carpet area: 2400 (222.97 sq.m.),3,3,0,0.0,West,Moderately Old,,,2400.0,0,0,0,0,0,1,22
house,independent,sector 43,8.5,2700.0,31481.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,West,Moderately Old,,2700.0,,0,1,0,0,0,1,113
flat,smart world orchard,sector 61,2.41,1630.0,14785.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2.0,East,New Property,,1630.0,1625.0,0,0,0,0,0,2,61
house,independent,sector 43,2.25,3000.0,7500.0,Plot area 550(51.1 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.),11,11,3+,5.0,West,New Property,,3000.0,,0,0,0,0,1,0,28
house,independent,sector 13,9.0,900.0,100000.0,Plot area 900(83.61 sq.m.),10,5,3+,4.0,not available,Old Property,,900.0,,0,0,0,0,0,2,0
house,suncity avenue 76,sector 76,0.75,745.0,10067.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),2,2,2,11.0,North-East,New Property,,745.0,,0,0,0,0,0,2,40
flat,bestech park view spa next,sector 67,2.72,2350.0,11574.0,Super Built up area 2350(218.32 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.)Carpet area: 2001 sq.ft. (185.9 sq.m.),4,4,3+,0.0,South-West,Relatively New,2350.0,2250.0,2001.0,0,1,0,1,0,1,128
flat,emaar mgf emerald floors premier,sector 65,2.8,1975.0,14177.0,Carpet area: 1975 (183.48 sq.m.),4,4,3,2.0,South,Relatively New,,,1975.0,1,1,0,0,0,1,108
house,independent,sector 17,0.32,565.0,5664.0,Built Up area: 565 (52.49 sq.m.),5,1,,1.0,not available,Undefined,,565.0,,0,0,0,0,0,2,0
flat,m3m sierra 68,sector 68,1.08,1245.0,8674.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,1.0,West,Relatively New,1245.0,1130.0,930.0,0,0,0,0,0,1,149
flat,ireo the corridors,sector 67a,1.85,1941.0,9531.0,Built Up area: 1941 (180.32 sq.m.),3,4,3,4.0,East,New Property,,1941.0,,1,0,1,0,0,1,150
flat,imperia the esfera,sector 37c,0.85,1578.0,5386.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,1578.0,,1310.0,1,0,0,0,0,2,49
flat,m3m woodshire,sector 107,1.15,1534.0,7496.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2,2,3,0.0,North-East,Relatively New,1534.0,,1056.0,1,0,0,0,0,2,29
flat,godrej frontier,sector 80,1.4,2262.0,6189.0,Super Built up area 2262(210.15 sq.m.)Built Up area: 1922 sq.ft. (178.56 sq.m.)Carpet area: 1634 sq.ft. (151.8 sq.m.),3,4,2,6.0,South,Moderately Old,2262.0,1922.0,1634.0,0,1,0,1,0,2,111
flat,bptp freedom park life,sector 57,5.5,6123.0,8982.0,Built Up area: 5010 (465.44 sq.m.),5,6,3+,19.0,East,Moderately Old,,5010.0,,0,1,0,1,0,1,153
flat,m3m sky lofts,sector 71,0.9,683.0,13177.0,Built Up area: 683 (63.45 sq.m.),1,1,0,6.0,,New Property,,683.0,,0,0,0,0,0,2,77
flat,signature global solera,sector 107,0.38,600.0,6333.0,Super Built up area 650(60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,3.0,East,Relatively New,650.0,,600.0,0,0,0,0,0,0,23
house,independent,sector 25,16.0,6000.0,26667.0,Built Up area: 6000 (557.42 sq.m.),6,5,2,3.0,East,Relatively New,,6000.0,,0,0,0,0,0,2,0
flat,the close north,sector 50,2.97,2605.0,11401.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3+,8.0,North,Moderately Old,2605.0,2600.0,2100.0,0,1,0,0,0,1,174
flat,conscient heritage max,sector 102,1.9,1942.0,9783.0,Super Built up area 1942(180.42 sq.m.),3,4,3+,20.0,North-East,Relatively New,1942.0,,,0,1,0,0,0,2,165
flat,dlf ridgewood estate,sector 28,2.0,1370.0,14598.0,Super Built up area 1370(127.28 sq.m.),3,3,1,12.0,North-East,Old Property,1370.0,,,0,0,0,0,0,1,96
flat,pareena mi casa,sector 68,1.7,2000.0,8500.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23.0,,New Property,1999.0,,,0,0,0,0,0,2,88
flat,mrg world ultimus,sector 90,0.5,716.0,6983.0,Carpet area: 716 (66.52 sq.m.),2,2,2,1.0,North-East,Undefined,,,716.0,0,0,0,0,0,2,21
house,uppal southend,sector 49,4.4,2880.0,15278.0,Plot area 320(267.56 sq.m.),6,6,3,3.0,North,Moderately Old,,2880.0,,1,1,1,1,0,0,110
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,590.0,16454.0,Super Built up area 915(85.01 sq.m.)Carpet area: 589.49 sq.ft. (54.77 sq.m.),2,2,2,10.0,North-East,Relatively New,915.0,,589.49,0,0,0,0,0,2,151
flat,indiabulls centrum park,sector 103,2.14,2875.0,7443.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),4,6,3+,7.0,East,Relatively New,2875.0,,2550.0,0,1,0,0,0,2,142
flat,la vida by tata housing,sector 113,2.7,1650.0,16363.0,Built Up area: 2217 (205.97 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,4,3+,4.0,North-West,Relatively New,,2217.0,1650.0,0,1,0,0,0,1,49
flat,godrej nature plus,sector 33,1.15,995.0,11558.0,Carpet area: 92.44,2,2,2,15.0,,Undefined,,,92.44,0,0,0,0,0,2,38
flat,conscient heritage max,sector 102,2.5,2149.0,11633.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,25.0,North-East,New Property,2149.0,,,1,1,0,0,0,1,56
flat,signature global city,sector 37d,0.68,580.0,11724.0,Carpet area: 580 (53.88 sq.m.),2,2,3,9.0,,New Property,,,580.0,0,0,0,0,1,2,58
flat,signature global city,sector 37d,1.1,1295.0,8494.0,Carpet area: 1295 (120.31 sq.m.),3,3,2,2.0,North,Undefined,,,1295.0,0,0,0,0,0,2,36
flat,puri emerald bay,sector 104,1.5,1550.0,9678.0,Super Built up area 1550(144 sq.m.),2,2,2,7.0,,Under Construction,1550.0,,,0,0,0,0,1,2,43
house,independent,sohna road,1.5,1053.0,14245.0,Plot area 117(97.83 sq.m.),2,3,2,1.0,North,New Property,,1053.0,,1,0,0,1,0,1,69
flat,dlf regal gardens,sector 90,1.25,1935.0,6459.0,Super Built up area 1703(158.21 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,10.0,South,Relatively New,1703.0,1650.0,1600.0,0,0,0,0,1,1,38
house,independent,sector 2,2.55,1557.0,16378.0,Plot area 173(144.65 sq.m.),3,3,2,2.0,South,Old Property,,1557.0,,0,0,0,0,0,2,8
flat,umang winter hills,sector 77,1.35,1735.0,7780.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1199 sq.ft. (111.39 sq.m.),3,3,3+,7.0,,New Property,1735.0,,1199.0,0,0,1,0,0,1,96
flat,emaar mgf emerald floors premier,sector 65,2.0,1650.0,12121.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,1.0,North-West,Relatively New,,,1650.0,0,1,0,0,0,1,124
house,independent,sector 46,3.6,1449.0,24845.0,Plot area 161(134.62 sq.m.),5,5,3+,3.0,South-East,Moderately Old,,1449.0,,0,1,0,0,0,1,75
house,independent,sohna road,0.07,277.0,2525.0,Plot area 33(27.59 sq.m.),1,1,,1.0,not available,Relatively New,,33.0,,0,0,0,0,0,2,0
flat,greenopolis,sector 89,0.8,1297.0,6168.0,Carpet area: 1297 (120.5 sq.m.),2,2,2,6.0,South,Under Construction,,,1297.0,0,0,0,0,0,2,44
flat,adani m2k oyster grande,sector 102,4.55,4550.0,10000.0,Super Built up area 4650(432 sq.m.)Built Up area: 4630 sq.ft. (430.14 sq.m.)Carpet area: 4550 sq.ft. (422.71 sq.m.),4,4,3+,11.0,North-East,Relatively New,4650.0,4630.0,4550.0,0,0,0,0,0,1,60
house,unitech escape,sector 50,12.0,3240.0,37037.0,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,East,Undefined,,,360.0,0,0,0,0,0,2,66
flat,raheja sampada,sector 92,0.65,1370.0,4744.0,Super Built up area 1370(127.28 sq.m.),3,2,3,6.0,North-East,Relatively New,1370.0,,,0,0,0,0,0,2,49
flat,ats marigold,sector 89,1.7,1750.0,9714.0,Carpet area: 1750 (162.58 sq.m.),3,3,3+,8.0,North,Under Construction,,,1750.0,1,0,0,0,0,2,65
flat,bestech park view grand spa,sector 81,2.29,2660.0,8609.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,10.0,North-East,Relatively New,2660.0,,2000.0,1,1,0,0,0,0,174
flat,gls arawali homes,sohna road,0.27,587.0,4600.0,Super Built up area 576(53.51 sq.m.),2,2,2,5.0,,New Property,576.0,,,0,0,0,0,0,2,42
flat,signature global orchard avenue,sector 93,0.4,544.0,7359.0,Carpet area: 543.53 (50.5 sq.m.),2,2,2,11.0,,New Property,,,543.57695,0,0,0,0,0,2,37
flat,pyramid urban homes 2,sector 86,0.44,601.0,7321.0,Carpet area: 601 (55.83 sq.m.),2,2,2,6.0,East,Relatively New,,,601.0,0,0,0,0,0,1,63
flat,mvn athens,sohna road,0.26,482.0,5397.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,,Relatively New,,,481.684525,0,0,0,0,0,2,95
flat,signature global city 92,sector 92,0.78,969.0,8047.0,Super Built up area 1197(111.2 sq.m.),2,2,2,2.0,,New Property,1197.0,,,0,0,0,0,0,1,47
flat,hsiidc sidco shivalik apartments,manesar,0.85,1666.0,5102.0,Super Built up area 1666(154.78 sq.m.),3,2,2,5.0,,Moderately Old,1666.0,,,0,0,0,0,0,2,0
flat,lotus homz,sector 111,0.36,405.0,8888.0,Carpet area: 405 (37.63 sq.m.),1,1,1,10.0,,Relatively New,,,405.0,0,0,0,0,0,2,44
flat,essel towers,sector 14,2.75,2200.0,12500.0,Built Up area: 2200 (204.39 sq.m.),4,5,3+,8.0,East,Old Property,,2200.0,,1,1,0,0,0,0,128
flat,unitech fresco,sector 50,1.14,1336.0,8532.0,Super Built up area 1336(124.12 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,2,19.0,East,Moderately Old,1336.0,1330.0,1100.0,0,0,0,0,1,1,174
flat,railway officers rpf society,sector 9a,1.25,1806.0,6921.0,Carpet area: 1806 (167.78 sq.m.),4,3,3,1.0,South-West,Old Property,,,1806.0,0,1,0,0,0,1,12
