property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 26,8.1,2295.0,35294.0,Plot area 255(213.21 sq.m.),5,5,2,4.0,East,Old Property,,2295.0,,0,0,0,0,0,2,42
flat,radhakrishna society,sector 23,0.55,1100.0,5000.0,Super Built up area 1100(102.19 sq.m.),2,2,1,1.0,West,Moderately Old,1100.0,,,0,0,0,0,0,1,29
flat,wings apartment,sector 9,1.2,1800.0,6666.0,Carpet area: 1800 (167.23 sq.m.),4,3,2,4.0,South-East,Moderately Old,,,1800.0,0,0,0,0,0,1,23
flat,bptp terra,sector 37d,1.79,1993.0,8983.0,Super Built up area 1998(185.62 sq.m.),4,3,3,15.0,South-West,Relatively New,1998.0,,,0,0,0,0,1,1,37
flat,bptp terra,sector 37d,1.78,2191.0,8124.0,Super Built up area 2191(203.55 sq.m.),4,3,3,10.0,East,Relatively New,2191.0,,,0,1,0,0,0,2,127
flat,bestech park view city,sector 49,3.0,2383.0,12589.0,Super Built up area 2383(221.39 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,4,3,5.0,North-East,Moderately Old,2383.0,2200.0,2000.0,0,1,0,1,0,1,141
house,independent,sector 4,0.47,587.0,8012.0,Plot area 624(57.97 sq.m.),2,1,1,1.0,East,Moderately Old,,624.0,,0,0,1,0,0,2,0
flat,shree vardhman victoria,sector 70,1.65,1950.0,8461.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6.0,North-East,Relatively New,1950.0,,1161.0,0,1,0,1,0,2,167
flat,signature global park,sohna road,0.54,750.0,7200.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North-East,Under Construction,,,750.0,0,0,0,0,0,2,111
flat,imperia the esfera,sector 37c,0.86,1578.0,5449.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,1578.0,,1310.0,1,0,0,0,1,2,49
flat,eldeco accolade,sohna road,0.95,1452.0,6542.0,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,6.0,East,New Property,1452.0,,849.0,1,0,0,0,0,1,56
flat,orchid petals,sector 49,2.35,2033.0,11559.0,Super Built up area 2033(188.87 sq.m.)Built Up area: 2030 sq.ft. (188.59 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,3,3,15.0,West,Relatively New,2033.0,2030.0,1750.0,0,0,0,0,1,2,49
house,independent,sector 26,18.4,98978.0,1859.0,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3+,4.0,South,Relatively New,,,11000.0,0,1,1,1,0,1,60
house,malibu towne,sector 47,8.81,3240.0,27191.0,Plot area 360(301.01 sq.m.),8,6,3+,3.0,East,Moderately Old,,3240.0,,1,1,0,0,1,1,27
